[2026-06-08T13:10:05.023261070] | [INFO] | [SISTEMA] | [INICIO] | [Servidor escuchando en puerto 8080]
[2026-06-08T16:25:26.979898247] | [INFO] | [alejandro] | [JOIN_ROOM] | [Entró al salón IA]
[2026-06-08T16:26:54.077197608] | [INFO] | [tello] | [SEND_ROOM] | [Mensaje en salón IA]
[2026-06-08T16:27:01.226915527] | [INFO] | [alejandro] | [SEND_ROOM] | [Mensaje en salón IA]
[2026-06-08T16:27:03.597712509] | [INFO] | [alejandro] | [LOGOUT] | [Usuario desconectado]
[2026-06-08T16:27:03.598551824] | [INFO] | [alejandro] | [DESCONECTAR] | [Cliente desconectado]
[2026-06-08T16:27:06.065878351] | [INFO] | [tello] | [LOGOUT] | [Usuario desconectado]
[2026-06-08T16:27:06.066673362] | [INFO] | [tello] | [DESCONECTAR] | [Cliente desconectado]
[2026-06-08T16:27:10.425238691] | [INFO] | [SISTEMA] | [NUEVA_CONEXION] | [Cliente conectado desde /127.0.0.1]
[2026-06-08T16:27:10.425782963] | [INFO] | [tello] | [LOGIN] | [Usuario conectado]
[2026-06-08T16:27:12.137700040] | [INFO] | [tello] | [JOIN_ROOM] | [Entró al salón IA]
[2026-06-08T16:27:16.281253500] | [INFO] | [SISTEMA] | [NUEVA_CONEXION] | [Cliente conectado desde /127.0.0.1]
[2026-06-08T16:27:16.282239032] | [INFO] | [alejandro] | [LOGIN] | [Usuario conectado]
[2026-06-08T16:27:20.117507039] | [INFO] | [alejandro] | [JOIN_ROOM] | [Entró al salón DEPORTES]
[2026-06-08T16:27:20.119227331] | [INFO] | [SISTEMA] | [CARGAR_MENSAJES] | [No se encontró fichero del salón: DEPORTES]
[2026-06-08T16:27:20.614358233] | [INFO] | [alejandro] | [LEAVE_ROOM] | [Salió del salón]
[2026-06-08T16:27:23.177501034] | [INFO] | [alejandro] | [JOIN_ROOM] | [Entró al salón IA]
[2026-06-08T16:27:33.451883396] | [INFO] | [alejandro] | [LOGOUT] | [Usuario desconectado]
[2026-06-08T16:27:33.452410037] | [INFO] | [alejandro] | [DESCONECTAR] | [Cliente desconectado]
[2026-06-08T16:27:34.483051301] | [INFO] | [tello] | [LOGOUT] | [Usuario desconectado]
[2026-06-08T16:27:34.483596405] | [INFO] | [tello] | [DESCONECTAR] | [Cliente desconectado]
[2026-06-08T16:46:16.029362753] | [INFO] | [SISTEMA] | [NUEVA_CONEXION] | [Cliente conectado desde /127.0.0.1]
[2026-06-08T16:46:16.035175636] | [INFO] | [tello] | [LOGIN] | [Usuario conectado]
[2026-06-08T16:46:20.448554719] | [INFO] | [tello] | [JOIN_ROOM] | [Entró al salón IA]
[2026-06-08T16:47:04.919044229] | [INFO] | [tello] | [LOGOUT] | [Usuario desconectado]
[2026-06-08T16:47:04.919901620] | [INFO] | [tello] | [DESCONECTAR] | [Cliente desconectado]
[2026-06-08T16:49:24.066497929] | [INFO] | [SISTEMA] | [NUEVA_CONEXION] | [Cliente conectado desde /127.0.0.1]
[2026-06-08T16:49:24.075554502] | [INFO] | [DESCONOCIDO] | [DESCONECTAR] | [Cliente desconectado]
[2026-06-08T16:49:27.139346324] | [INFO] | [SISTEMA] | [NUEVA_CONEXION] | [Cliente conectado desde /127.0.0.1]
[2026-06-08T16:49:27.139892831] | [INFO] | [tello] | [LOGIN] | [Usuario conectado]
[2026-06-08T16:49:29.702596398] | [INFO] | [tello] | [JOIN_ROOM] | [Entró al salón IA]
[2026-06-08T16:49:41.086874759] | [INFO] | [tello] | [LOGOUT] | [Usuario desconectado]
[2026-06-08T16:49:41.087590380] | [INFO] | [tello] | [DESCONECTAR] | [Cliente desconectado]
[2026-06-08T16:49:46.347514144] | [INFO] | [SISTEMA] | [NUEVA_CONEXION] | [Cliente conectado desde /127.0.0.1]
[2026-06-08T16:49:46.349398234] | [INFO] | [DESCONOCIDO] | [DESCONECTAR] | [Cliente desconectado]
[2026-06-08T16:49:49.119297090] | [INFO] | [SISTEMA] | [NUEVA_CONEXION] | [Cliente conectado desde /127.0.0.1]
[2026-06-08T16:49:49.121076629] | [INFO] | [DESCONOCIDO] | [DESCONECTAR] | [Cliente desconectado]
[2026-06-08T16:49:49.542859575] | [INFO] | [SISTEMA] | [NUEVA_CONEXION] | [Cliente conectado desde /127.0.0.1]
[2026-06-08T16:49:49.544214574] | [INFO] | [DESCONOCIDO] | [DESCONECTAR] | [Cliente desconectado]
[2026-06-08T16:49:49.702704772] | [INFO] | [SISTEMA] | [NUEVA_CONEXION] | [Cliente conectado desde /127.0.0.1]
[2026-06-08T16:49:49.703761427] | [INFO] | [DESCONOCIDO] | [DESCONECTAR] | [Cliente desconectado]
[2026-06-08T16:49:49.849288501] | [INFO] | [SISTEMA] | [NUEVA_CONEXION] | [Cliente conectado desde /127.0.0.1]
[2026-06-08T16:49:49.851357768] | [INFO] | [DESCONOCIDO] | [DESCONECTAR] | [Cliente desconectado]
[2026-06-08T16:49:49.993721586] | [INFO] | [SISTEMA] | [NUEVA_CONEXION] | [Cliente conectado desde /127.0.0.1]
[2026-06-08T16:49:49.995460926] | [INFO] | [DESCONOCIDO] | [DESCONECTAR] | [Cliente desconectado]
[2026-06-08T16:49:50.169604178] | [INFO] | [SISTEMA] | [NUEVA_CONEXION] | [Cliente conectado desde /127.0.0.1]
[2026-06-08T16:49:50.171506888] | [INFO] | [DESCONOCIDO] | [DESCONECTAR] | [Cliente desconectado]
[2026-06-08T16:49:50.681348664] | [INFO] | [SISTEMA] | [NUEVA_CONEXION] | [Cliente conectado desde /127.0.0.1]
[2026-06-08T16:49:50.683291419] | [INFO] | [DESCONOCIDO] | [DESCONECTAR] | [Cliente desconectado]
[2026-06-08T16:49:54.679637502] | [INFO] | [SISTEMA] | [NUEVA_CONEXION] | [Cliente conectado desde /127.0.0.1]
[2026-06-08T16:49:54.681562592] | [INFO] | [DESCONOCIDO] | [DESCONECTAR] | [Cliente desconectado]
[2026-06-08T16:50:02.557512706] | [INFO] | [SISTEMA] | [NUEVA_CONEXION] | [Cliente conectado desde /127.0.0.1]
[2026-06-08T16:50:02.559350350] | [INFO] | [DESCONOCIDO] | [DESCONECTAR] | [Cliente desconectado]
[2026-06-08T16:50:04.537914965] | [INFO] | [SISTEMA] | [NUEVA_CONEXION] | [Cliente conectado desde /127.0.0.1]
[2026-06-08T16:50:04.539868949] | [INFO] | [DESCONOCIDO] | [DESCONECTAR] | [Cliente desconectado]
[2026-06-08T16:50:07.411646169] | [INFO] | [SISTEMA] | [NUEVA_CONEXION] | [Cliente conectado desde /127.0.0.1]
[2026-06-08T16:50:07.412481633] | [INFO] | [tello] | [LOGIN] | [Usuario conectado]
[2026-06-08T16:50:09.302439803] | [INFO] | [tello] | [JOIN_ROOM] | [Entró al salón IA]
[2026-06-08T16:50:25.253129355] | [INFO] | [tello] | [SEND_ROOM] | [Mensaje en salón IA]
[2026-06-08T16:50:51.475110988] | [INFO] | [tello] | [LOGOUT] | [Usuario desconectado]
[2026-06-08T16:50:51.475890091] | [INFO] | [tello] | [DESCONECTAR] | [Cliente desconectado]
[2026-06-08T16:50:57.884306815] | [INFO] | [SISTEMA] | [NUEVA_CONEXION] | [Cliente conectado desde /127.0.0.1]
[2026-06-08T16:50:57.884666642] | [INFO] | [tello] | [LOGIN] | [Usuario conectado]
[2026-06-08T16:52:10.212348230] | [INFO] | [tello] | [LOGOUT] | [Usuario desconectado]
[2026-06-08T16:52:10.213275613] | [INFO] | [tello] | [DESCONECTAR] | [Cliente desconectado]
[2026-06-08T16:52:38.076948959] | [INFO] | [SISTEMA] | [NUEVA_CONEXION] | [Cliente conectado desde /127.0.0.1]
[2026-06-08T16:52:38.077503765] | [INFO] | [tello] | [LOGIN] | [Usuario conectado]
[2026-06-08T16:52:40.364138313] | [INFO] | [tello] | [LOGOUT] | [Usuario desconectado]
[2026-06-08T16:52:40.364816037] | [INFO] | [tello] | [DESCONECTAR] | [Cliente desconectado]
[2026-06-08T17:06:05.701309217] | [INFO] | [SISTEMA] | [INICIO] | [Servidor escuchando en puerto 8080]
[2026-06-08T17:06:18.290426623] | [INFO] | [SISTEMA] | [NUEVA_CONEXION] | [Cliente conectado desde /127.0.0.1]
[2026-06-08T17:06:18.294483118] | [INFO] | [alejandro] | [LOGIN] | [Usuario conectado]
[2026-06-08T17:06:23.241318284] | [INFO] | [alejandro] | [LOGOUT] | [Usuario desconectado]
[2026-06-08T17:06:23.244825429] | [INFO] | [alejandro] | [DESCONECTAR] | [Cliente desconectado]
[2026-06-08T17:06:34.830950024] | [INFO] | [SISTEMA] | [NUEVA_CONEXION] | [Cliente conectado desde /127.0.0.1]
[2026-06-08T17:06:34.836681966] | [INFO] | [alejandro] | [LOGIN] | [Usuario conectado]
[2026-06-08T17:06:39.231733952] | [INFO] | [alejandro] | [LOGOUT] | [Usuario desconectado]
[2026-06-08T17:06:39.232510192] | [INFO] | [alejandro] | [DESCONECTAR] | [Cliente desconectado]
[2026-06-08T17:10:51.264896292] | [INFO] | [SISTEMA] | [INICIO] | [Servidor escuchando en puerto 8080]
[2026-06-08T17:10:58.133632062] | [INFO] | [SISTEMA] | [NUEVA_CONEXION] | [Cliente conectado desde /127.0.0.1]
[2026-06-08T17:10:58.137409311] | [INFO] | [alejandro] | [LOGIN] | [Usuario conectado]
[2026-06-08T17:11:04.319700656] | [INFO] | [SISTEMA] | [NUEVA_CONEXION] | [Cliente conectado desde /127.0.0.1]
[2026-06-08T17:11:04.356370681] | [INFO] | [DESCONOCIDO] | [DESCONECTAR] | [Cliente desconectado]
[2026-06-08T17:11:09.429176912] | [INFO] | [SISTEMA] | [NUEVA_CONEXION] | [Cliente conectado desde /127.0.0.1]
[2026-06-08T17:11:09.430607246] | [INFO] | [tello] | [LOGIN] | [Usuario conectado]
[2026-06-08T17:11:14.471241156] | [INFO] | [tello] | [JOIN_PRIV] | [Conversación privada con alejandro]
[2026-06-08T17:11:21.013034759] | [INFO] | [tello] | [SEND_PRIV] | [Mensaje privado a alejandro]
[2026-06-08T17:11:28.138893021] | [INFO] | [tello] | [LEAVE_PRIV] | [Salió de conversación privada]
[2026-06-08T17:14:35.463994334] | [INFO] | [SISTEMA] | [INICIO] | [Servidor escuchando en puerto 8080]
[2026-06-08T17:14:43.921826160] | [INFO] | [SISTEMA] | [NUEVA_CONEXION] | [Cliente conectado desde /127.0.0.1]
[2026-06-08T17:14:43.925835464] | [INFO] | [alejandro] | [LOGIN] | [Usuario conectado]
[2026-06-08T17:14:47.806327503] | [INFO] | [SISTEMA] | [NUEVA_CONEXION] | [Cliente conectado desde /127.0.0.1]
[2026-06-08T17:14:47.811909702] | [INFO] | [tello] | [LOGIN] | [Usuario conectado]
[2026-06-08T17:14:53.260143243] | [INFO] | [alejandro] | [JOIN_PRIV] | [Conversación privada con alejandro]
[2026-06-08T17:14:55.767513597] | [INFO] | [alejandro] | [LEAVE_PRIV] | [Salió de conversación privada]
[2026-06-08T17:14:59.493215115] | [INFO] | [alejandro] | [JOIN_PRIV] | [Conversación privada con tello]
[2026-06-08T17:15:04.326485042] | [INFO] | [tello] | [SEND_PRIV] | [Mensaje privado a alejandro]
[2026-06-08T17:15:06.199723826] | [INFO] | [tello] | [LEAVE_PRIV] | [Salió de conversación privada]
[2026-06-08T17:15:08.163576688] | [INFO] | [alejandro] | [LEAVE_PRIV] | [Salió de conversación privada]
[2026-06-08T17:15:09.197439577] | [INFO] | [alejandro] | [JOIN_PRIV] | [Conversación privada con tello]
[2026-06-08T17:15:11.687209052] | [INFO] | [alejandro] | [LEAVE_PRIV] | [Salió de conversación privada]
[2026-06-08T17:15:12.569395155] | [INFO] | [tello] | [LEAVE_PRIV] | [Salió de conversación privada]
[2026-06-08T17:15:14.862218341] | [INFO] | [alejandro] | [JOIN_ROOM] | [Entró al salón IA]
[2026-06-08T17:15:21.837454914] | [INFO] | [tello] | [JOIN_ROOM] | [Entró al salón IA]
[2026-06-08T17:15:26.605948042] | [INFO] | [alejandro] | [LEAVE_ROOM] | [Salió del salón]
[2026-06-08T17:15:28.711302903] | [INFO] | [tello] | [LEAVE_ROOM] | [Salió del salón]
[2026-06-08T17:16:45.045238539] | [INFO] | [tello] | [JOIN_ROOM] | [Entró al salón DEPORTES]
[2026-06-08T17:16:45.046275950] | [INFO] | [SISTEMA] | [CARGAR_MENSAJES] | [No se encontró fichero del salón: DEPORTES]
[2026-06-08T17:16:47.964949088] | [INFO] | [tello] | [LOGOUT] | [Usuario desconectado]
[2026-06-08T17:16:47.967380888] | [INFO] | [tello] | [DESCONECTAR] | [Cliente desconectado]
[2026-06-08T17:16:51.337269083] | [INFO] | [SISTEMA] | [NUEVA_CONEXION] | [Cliente conectado desde /127.0.0.1]
[2026-06-08T17:16:51.337799825] | [INFO] | [tello] | [LOGIN] | [Usuario conectado]
[2026-06-08T17:16:53.321547202] | [INFO] | [tello] | [JOIN_ROOM] | [Entró al salón IA]
[2026-06-08T17:16:55.283586234] | [INFO] | [tello] | [JOIN_ROOM] | [Entró al salón THERIAN]
[2026-06-08T17:16:55.284623204] | [INFO] | [SISTEMA] | [CARGAR_MENSAJES] | [No se encontró fichero del salón: THERIAN]
[2026-06-08T17:17:06.159422779] | [INFO] | [tello] | [JOIN_ROOM] | [Entró al salón MANGA]
[2026-06-08T17:17:06.160470142] | [INFO] | [SISTEMA] | [CARGAR_MENSAJES] | [No se encontró fichero del salón: MANGA]
[2026-06-08T17:17:08.969397814] | [INFO] | [tello] | [JOIN_ROOM] | [Entró al salón IA]
[2026-06-08T17:17:17.915938644] | [INFO] | [tello] | [LEAVE_ROOM] | [Salió del salón]
[2026-06-08T17:17:23.672544910] | [INFO] | [alejandro] | [LOGOUT] | [Usuario desconectado]
[2026-06-08T17:17:23.673196426] | [INFO] | [alejandro] | [DESCONECTAR] | [Cliente desconectado]
[2026-06-08T17:17:26.990899547] | [INFO] | [SISTEMA] | [NUEVA_CONEXION] | [Cliente conectado desde /127.0.0.1]
[2026-06-08T17:17:26.991365188] | [INFO] | [alejandro] | [LOGIN] | [Usuario conectado]
[2026-06-08T17:17:28.855762013] | [INFO] | [alejandro] | [JOIN_ROOM] | [Entró al salón IA]
[2026-06-08T17:17:37.947668638] | [INFO] | [tello] | [JOIN_ROOM] | [Entró al salón IA]
[2026-06-08T17:17:39.701988888] | [INFO] | [tello] | [LEAVE_ROOM] | [Salió del salón]
[2026-06-08T17:17:41.650059101] | [INFO] | [tello] | [JOIN_ROOM] | [Entró al salón IA]
[2026-06-08T17:17:44.477899588] | [INFO] | [tello] | [JOIN_ROOM] | [Entró al salón THERIAN]
[2026-06-08T17:17:44.479042748] | [INFO] | [SISTEMA] | [CARGAR_MENSAJES] | [No se encontró fichero del salón: THERIAN]
[2026-06-08T17:17:51.038184280] | [INFO] | [tello] | [LEAVE_ROOM] | [Salió del salón]
[2026-06-08T17:17:53.449840471] | [INFO] | [tello] | [JOIN_ROOM] | [Entró al salón IA]
[2026-06-08T17:17:56.446568213] | [INFO] | [tello] | [LEAVE_ROOM] | [Salió del salón]
[2026-06-08T17:18:39.206681722] | [INFO] | [alejandro] | [LOGOUT] | [Usuario desconectado]
[2026-06-08T17:18:39.207394498] | [INFO] | [alejandro] | [DESCONECTAR] | [Cliente desconectado]
[2026-06-08T17:18:54.841221919] | [INFO] | [SISTEMA] | [NUEVA_CONEXION] | [Cliente conectado desde /127.0.0.1]
[2026-06-08T17:18:54.880857648] | [INFO] | [DESCONOCIDO] | [DESCONECTAR] | [Cliente desconectado]
[2026-06-08T17:18:59.525839817] | [INFO] | [SISTEMA] | [NUEVA_CONEXION] | [Cliente conectado desde /127.0.0.1]
[2026-06-08T17:18:59.526650362] | [INFO] | [alejandro] | [LOGIN] | [Usuario conectado]
[2026-06-08T17:19:01.581288930] | [INFO] | [alejandro] | [JOIN_ROOM] | [Entró al salón IA]
[2026-06-08T17:19:05.498787701] | [INFO] | [alejandro] | [LEAVE_ROOM] | [Salió del salón]
[2026-06-08T17:19:07.372710110] | [INFO] | [alejandro] | [JOIN_ROOM] | [Entró al salón THERIAN]
[2026-06-08T17:19:07.373519279] | [INFO] | [SISTEMA] | [CARGAR_MENSAJES] | [No se encontró fichero del salón: THERIAN]
[2026-06-08T17:19:11.795448964] | [INFO] | [alejandro] | [JOIN_ROOM] | [Entró al salón IA]
[2026-06-08T17:19:17.211227945] | [INFO] | [alejandro] | [LEAVE_ROOM] | [Salió del salón]
[2026-06-08T17:19:20.512970087] | [INFO] | [tello] | [JOIN_ROOM] | [Entró al salón IA]
[2026-06-08T17:19:23.725010760] | [INFO] | [alejandro] | [JOIN_ROOM] | [Entró al salón IA]
[2026-06-08T17:19:27.635390116] | [INFO] | [alejandro] | [JOIN_ROOM] | [Entró al salón UEMC]
[2026-06-08T17:19:31.143050339] | [INFO] | [alejandro] | [JOIN_ROOM] | [Entró al salón IA]
[2026-06-08T18:25:51.222234171] | [INFO] | [alejandro] | [LOGOUT] | [Usuario desconectado]
[2026-06-08T18:25:51.223323418] | [INFO] | [alejandro] | [DESCONECTAR] | [Cliente desconectado]
[2026-06-08T18:25:57.855613215] | [INFO] | [tello] | [LOGOUT] | [Usuario desconectado]
[2026-06-08T18:25:57.856340916] | [INFO] | [tello] | [DESCONECTAR] | [Cliente desconectado]
